time,Illumination(lux),year,month,day,hour
20190124:0310,0.0,2019,01,24,03
20190124:0410,0.0,2019,01,24,04
20190124:0510,0.0,2019,01,24,05
20190124:0610,0.0,2019,01,24,06
20190124:0710,0.0,2019,01,24,07
20190124:0810,44899.200000000004,2019,01,24,08
20190124:0910,44526.0,2019,01,24,09
20190124:1010,53925.6,2019,01,24,10
20190124:1110,64426.799999999996,2019,01,24,11
20190124:1210,73515.6,2019,01,24,12
20190124:1310,84768.0,2019,01,24,13
20190124:1410,84187.2,2019,01,24,14
20190124:1510,77701.2,2019,01,24,15
20190124:1610,0.0,2019,01,24,16
20190124:1710,0.0,2019,01,24,17
20190124:1810,0.0,2019,01,24,18
20190124:1910,0.0,2019,01,24,19
20190124:2010,0.0,2019,01,24,20
20190124:2110,0.0,2019,01,24,21
20190124:2210,0.0,2019,01,24,22
20190124:2310,0.0,2019,01,24,23
20190125:0010,0.0,2019,01,25,00
20190125:0110,0.0,2019,01,25,01
20190125:0210,0.0,2019,01,25,02
20190125:0310,0.0,2019,01,25,03
20190125:0410,0.0,2019,01,25,04
20190125:0510,0.0,2019,01,25,05
20190125:0610,0.0,2019,01,25,06
20190125:0710,0.0,2019,01,25,07
20190125:0810,73273.2,2019,01,25,08
20190125:0910,84705.6,2019,01,25,09
20190125:1010,86482.8,2019,01,25,10
20190125:1110,82915.20000000001,2019,01,25,11
20190125:1210,86372.4,2019,01,25,12
20190125:1310,91256.40000000001,2019,01,25,13
20190125:1410,88131.59999999999,2019,01,25,14
20190125:1510,80409.6,2019,01,25,15
20190125:1610,0.0,2019,01,25,16
20190125:1710,0.0,2019,01,25,17
20190125:1810,0.0,2019,01,25,18
20190125:1910,0.0,2019,01,25,19
20190125:2010,0.0,2019,01,25,20
20190125:2110,0.0,2019,01,25,21
20190125:2210,0.0,2019,01,25,22
20190125:2310,0.0,2019,01,25,23
20190126:0010,0.0,2019,01,26,00
20190126:0110,0.0,2019,01,26,01
20190126:0210,0.0,2019,01,26,02
20190126:0310,0.0,2019,01,26,03
20190126:0410,0.0,2019,01,26,04
20190126:0510,0.0,2019,01,26,05
20190126:0610,0.0,2019,01,26,06
20190126:0710,0.0,2019,01,26,07
20190126:0810,47886.0,2019,01,26,08
20190126:0910,46336.799999999996,2019,01,26,09
20190126:1010,52422.0,2019,01,26,10
20190126:1110,59833.200000000004,2019,01,26,11
20190126:1210,70088.40000000001,2019,01,26,12
20190126:1310,89170.8,2019,01,26,13
20190126:1410,57147.600000000006,2019,01,26,14
20190126:1510,9692.4,2019,01,26,15
20190126:1610,0.0,2019,01,26,16
20190126:1710,0.0,2019,01,26,17
20190126:1810,0.0,2019,01,26,18
20190126:1910,0.0,2019,01,26,19
20190126:2010,0.0,2019,01,26,20
20190126:2110,0.0,2019,01,26,21
20190126:2210,0.0,2019,01,26,22
20190126:2310,0.0,2019,01,26,23
20190127:0010,0.0,2019,01,27,00
20190127:0110,0.0,2019,01,27,01
20190127:0210,0.0,2019,01,27,02
20190127:0310,0.0,2019,01,27,03
20190127:0410,0.0,2019,01,27,04
20190127:0510,0.0,2019,01,27,05
20190127:0610,0.0,2019,01,27,06
20190127:0710,0.0,2019,01,27,07
20190127:0810,50194.8,2019,01,27,08
20190127:0910,19712.4,2019,01,27,09
20190127:1010,42358.8,2019,01,27,10
20190127:1110,0.0,2019,01,27,11
20190127:1210,0.0,2019,01,27,12
20190127:1310,0.0,2019,01,27,13
20190127:1410,0.0,2019,01,27,14
20190127:1510,3560.4,2019,01,27,15
20190127:1610,0.0,2019,01,27,16
20190127:1710,0.0,2019,01,27,17
20190127:1810,0.0,2019,01,27,18
20190127:1910,0.0,2019,01,27,19
20190127:2010,0.0,2019,01,27,20
20190127:2110,0.0,2019,01,27,21
20190127:2210,0.0,2019,01,27,22
20190127:2310,0.0,2019,01,27,23
20190128:0010,0.0,2019,01,28,00
20190128:0110,0.0,2019,01,28,01
20190128:0210,0.0,2019,01,28,02
20190128:0310,0.0,2019,01,28,03
20190128:0410,0.0,2019,01,28,04
20190128:0510,0.0,2019,01,28,05
20190128:0610,0.0,2019,01,28,06
20190128:0710,0.0,2019,01,28,07
20190128:0810,82525.20000000001,2019,01,28,08
20190128:0910,96424.79999999999,2019,01,28,09
20190128:1010,100058.40000000001,2019,01,28,10
20190128:1110,97794.0,2019,01,28,11
20190128:1210,90850.8,2019,01,28,12
20190128:1310,98076.0,2019,01,28,13
20190128:1410,96726.0,2019,01,28,14
20190128:1510,90703.2,2019,01,28,15
20190128:1610,0.0,2019,01,28,16
20190128:1710,0.0,2019,01,28,17
20190128:1810,0.0,2019,01,28,18
20190128:1910,0.0,2019,01,28,19
20190128:2010,0.0,2019,01,28,20
20190128:2110,0.0,2019,01,28,21
20190128:2210,0.0,2019,01,28,22
20190128:2310,0.0,2019,01,28,23
20190129:0010,0.0,2019,01,29,00
20190129:0110,0.0,2019,01,29,01
20190129:0210,0.0,2019,01,29,02
